No,Booking_ID,adult_and_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,lead_time(1),avg_price_per_room,no_of_special_requests,booking_status,type_of_meal_plan(1)
67,INN00240,,1,0,Not Selected,0,,31,2018,4,24,,0,0,0,31,94.5,0,Canceled,Not Selected
68,INN00246,,0,2,Meal Plan 1,0,,164,2017,10,2,,0,0,0,164,100.0,0,Not_Canceled,Meal Plan 1
69,INN00248,,0,4,Meal Plan 1,0,,18,2018,5,31,,0,0,0,18,112.8,0,Canceled,Meal Plan 1
70,INN00254,,1,1,Not Selected,0,,47,2018,5,21,,0,0,0,47,76.5,0,Not_Canceled,Not Selected
71,INN00255,,0,3,Meal Plan 1,0,,57,2018,9,7,,0,0,0,57,140.13,0,Not_Canceled,Meal Plan 1
72,INN00257,,0,1,Meal Plan 1,0,Room_Type 1,0,2017,9,16,,0,0,0,0,200.0,0,Not_Canceled,Meal Plan 1
73,INN00258,,0,2,Meal Plan 2,0,Room_Type 1,102,2017,10,16,,0,0,0,102,101.5,0,Canceled,Meal Plan 2
74,INN00262,,1,1,Not Selected,0,Room_Type 1,4,2018,1,16,,0,0,0,4,67.5,0,Not_Canceled,Not Selected
75,INN00269,,0,3,Meal Plan 1,0,Room_Type 1,302,2018,12,29,,0,0,0,302,90.3,2,Canceled,Meal Plan 1
76,INN00270,,0,2,Meal Plan 1,0,Room_Type 1,122,2018,4,15,,0,0,0,122,85.0,0,Not_Canceled,Meal Plan 1
77,INN00271,,0,1,Meal Plan 1,0,Room_Type 1,16,2018,3,11,,0,0,0,16,75.0,0,Not_Canceled,Meal Plan 1
78,INN00276,,2,4,Meal Plan 1,0,Room_Type 4,109,2018,7,6,,0,0,0,109,118.46,4,Not_Canceled,Meal Plan 1
79,INN00280,,2,5,Meal Plan 1,0,Room_Type 4,40,2018,4,21,,0,0,0,40,135.64,1,Not_Canceled,Meal Plan 1
80,INN00281,,1,1,Meal Plan 1,0,Room_Type 4,45,2018,6,18,,0,0,0,45,122.4,0,Not_Canceled,Meal Plan 1
81,INN00283,,0,4,Not Selected,0,Room_Type 1,167,2018,6,28,,0,0,0,167,62.18,0,Canceled,Not Selected
82,INN00286,,0,2,Not Selected,1,Room_Type 1,1,2018,8,10,,0,0,0,1,167.0,0,Not_Canceled,Not Selected
83,INN00291,,1,3,Meal Plan 1,0,Room_Type 1,80,2018,3,17,,0,0,0,80,80.33,1,Not_Canceled,Meal Plan 1
84,INN00295,,2,1,Meal Plan 1,0,Room_Type 1,118,2018,4,3,,0,0,0,118,87.3,1,Canceled,Meal Plan 1
85,INN00297,,0,1,Meal Plan 2,0,Room_Type 1,41,2017,9,4,,0,0,0,41,83.0,0,,Meal Plan 2
86,INN00298,,2,2,Meal Plan 1,0,Room_Type 1,174,2018,8,13,,0,0,0,174,99.45,1,,Meal Plan 1
87,INN00300,,2,6,Meal Plan 1,0,Room_Type 1,2,2018,11,16,,0,0,0,2,92.54,2,,Meal Plan 1
88,INN00307,,0,2,Meal Plan 1,0,Room_Type 1,61,2018,3,23,,0,0,0,61,117.0,0,Canceled,Meal Plan 1
89,INN00308,"2,0",0,4,Meal Plan 1,0,Room_Type 4,95,2017,12,29,,0,0,0,95,60.5,0,Not_Canceled,Meal Plan 1
90,INN00309,"2,0",0,1,Meal Plan 2,0,Room_Type 1,83,2017,9,30,,0,0,0,83,112.2,0,Not_Canceled,Meal Plan 2
91,INN00311,"2,0",1,0,Meal Plan 1,0,Room_Type 1,19,2018,7,25,,0,0,0,19,151.0,1,Canceled,Meal Plan 1
92,INN00315,"2,0",2,1,Meal Plan 1,0,Room_Type 1,26,2018,2,28,,0,0,0,26,87.0,0,Not_Canceled,Meal Plan 1
93,INN00318,"2,0",1,1,Meal Plan 2,0,Room_Type 1,247,2018,6,6,,0,0,0,247,115.0,1,Canceled,Meal Plan 2
94,INN00321,"3,0",1,2,Meal Plan 1,0,Room_Type 4,27,2018,2,22,,0,0,0,27,130.0,2,Not_Canceled,Meal Plan 1
95,INN00330,"2,0",0,2,Meal Plan 1,0,Room_Type 4,67,2018,5,27,,0,0,0,67,140.4,1,Not_Canceled,Meal Plan 1
96,INN00331,"2,0",0,1,Meal Plan 1,0,Room_Type 1,0,2017,8,11,,0,0,0,0,75.0,0,Not_Canceled,Meal Plan 1
97,INN00333,"2,0",2,1,Meal Plan 2,,Room_Type 1,110,2017,7,25,,0,0,0,110,94.5,0,Canceled,Meal Plan 2
98,INN00334,"1,0",0,1,Meal Plan 1,,Room_Type 1,0,2017,12,15,,1,0,1,0,75.0,0,Not_Canceled,Meal Plan 1
99,INN00335,"2,0",1,2,Meal Plan 1,,Room_Type 4,32,2017,10,23,,0,0,0,32,75.0,1,Not_Canceled,Meal Plan 1
100,INN00337,"2,0",2,2,Meal Plan 1,,Room_Type 1,38,2018,10,2,,0,0,0,38,126.0,0,Not_Canceled,Meal Plan 1
101,INN00340,"2,0",2,2,Meal Plan 1,,Room_Type 4,127,2018,6,26,,0,0,0,127,103.7,1,Not_Canceled,Meal Plan 1
102,INN00345,"3,0",1,1,Meal Plan 1,,Room_Type 4,69,2018,7,25,,0,0,0,69,137.7,0,Not_Canceled,Meal Plan 1
103,INN00353,"1,0",2,6,Meal Plan 1,,Room_Type 1,11,2018,7,5,,0,0,0,11,145.0,0,Canceled,Meal Plan 1
104,INN00356,"2,1",1,1,Meal Plan 1,,Room_Type 6,14,2018,10,22,,0,0,0,14,168.25,1,Not_Canceled,Meal Plan 1
105,INN00358,"2,0",1,3,Meal Plan 1,,Room_Type 1,133,2018,6,13,,0,0,0,133,76.0,0,Not_Canceled,Meal Plan 1
106,INN00364,"2,0",0,2,Meal Plan1,,Room_Type 4,1,2018,11,16,,0,0,0,1,130.0,1,Not_Canceled,Meal Plan1
107,INN00366,"3,0",1,4,Meal Plan1,,Room_Type 1,50,2018,2,22,Online,0,0,0,50,78.85,1,Not_Canceled,Meal Plan1
108,INN00371,"2,2",0,5,Meal Plan1,,Room_Type 6,22,2017,12,29,Online,0,0,0,22,199.0,0,Not_Canceled,Meal Plan1
109,INN00375,"2,0",2,6,Meal Plan1,,Room_Type 1,36,2018,12,10,Online,0,0,0,36,68.07,1,Not_Canceled,Meal Plan1
110,INN00380,"2,0",2,1,Meal Plan1,,Room_Type 1,17,2018,5,21,Offline,0,0,0,17,95.0,0,Not_Canceled,Meal Plan1
111,INN00381,"2,0",4,11,Meal Plan1,,Room_Type 4,237,2018,9,13,Online,0,0,0,237,116.62,1,Canceled,Meal Plan1
112,INN00385,"2,0",2,1,Meal Plan 1,,Room_Tipe 1,91,2018,6,19,Online,0,0,0,91,135.9,0,Canceled,Meal Plan 1
113,INN00386,"2,0",0,2,Meal Plan 2,,Room_Tipe 1,102,2017,10,16,Offline,0,0,0,102,109.0,0,Not_Canceled,Meal Plan 2
114,INN00387,"3,0",2,1,Meal Plan 1,,Room_Type 4,9,2018,3,20,Online,0,0,0,9,186.0,1,Not_Canceled,Meal Plan 1
115,INN00389,"2,2",0,1,Meal Plan 1,,Room_Tipe 6,0,2018,5,14,Online,0,0,0,0,221.0,0,Canceled,Meal Plan 1
116,INN00392,"2,1",1,4,Meal Plan 1,,Room_Type 1,86,2018,3,23,Offline,0,0,0,86,73.83,0,Not_Canceled,Meal Plan 1
117,INN00403,"2,0",1,2,Meal Plan 1,,Room_Type 1,198,2018,9,9,Online,0,0,0,198,90.0,0,Canceled,Meal Plan 1
118,INN00406,"2,0",0,3,Meal Plan 1,,Room_Type 1,26,2017,9,17,Daring,0,0,0,26,117.67,1,Canceled,Meal Plan 1
119,INN00407,"2,0",2,1,Meal Plan 1,,Room_Type 1,20,2018,6,18,Daring,0,0,0,20,141.0,1,Not_Canceled,Meal Plan 1
120,INN00409,"3,0",0,3,Meal Plan 1,,Room_Type 4,85,2018,8,3,Daring,0,0,0,85,152.1,0,Canceled,Meal Plan 1
121,INN00412,"2,0",0,2,Meal Plan 1,,Room_Type 1,48,2018,11,4,Daring,0,0,0,48,97.2,2,Not_Canceled,Meal Plan 1
122,INN00415,"1,0",0,1,Meal Plan 1,,Room_Type 1,13,2018,1,20,Offline,0,0,0,13,71.0,0,Not_Canceled,Meal Plan 1
123,INN00417,"2,0",1,2,Meal Plan 1,,Room_Type 4,75,2017,12,7,Offline,0,0,0,75,60.0,0,Not_Canceled,Meal Plan 1
124,INN00422,"2,0",1,2,Meal Plan 1,,Room_Type 1,224,2017,10,2,Offline,0,0,0,224,65.0,0,Not_Canceled,Meal Plan 1
125,INN00423,"2,0",2,2,Meal Plan 1,,Room_Type 1,24,2018,5,29,Online,0,0,0,24,104.55,2,Not_Canceled,Meal Plan 1
126,INN00430,"2,0",2,4,Meal Plan 1,,Room_Type 1,224,2018,9,3,Online,0,0,0,224,97.18,1,Canceled,Meal Plan 1
127,INN00435,"2,0",0,2,Meal Plan 1,,Room_Type 1,15,2018,2,16,Online,0,0,0,15,91.0,1,Canceled,Meal Plan 1
128,INN00437,"2,0",0,4,Meal Plan 1,,Room_Type 1,54,2018,3,16,Offline,0,0,0,54,67.32,0,Not_Canceled,Meal Plan 1
129,INN00442,"2,0",2,1,Meal Plan 1,,Room_Type 1,136,2018,8,13,Online,0,0,0,136,88.01,1,Not_Canceled,Meal Plan 1
130,INN00444,"2,0",0,4,Meal Plan 1,,Room_Type 1,66,2018,5,11,Online,0,0,0,66,119.85,1,Not_Canceled,Meal Plan 1
131,INN00448,"2,0",0,1,Meal Plan 1,,Room_Type 1,43,2017,10,13,Offline,0,0,0,43,85.0,0,Not_Canceled,Meal Plan 1
132,INN00449,"2,0",3,5,Meal Plan 1,,Room_Type 4,5,2018,4,4,Online,0,0,0,5,126.75,0,Canceled,Meal Plan 1
133,INN00450,"2,0",1,1,Meal Plan 2,,Room_Type 1,247,2018,6,6,Online,0,0,0,247,115.0,1,Canceled,Meal Plan 2
134,INN00452,"1,0",0,1,Meal Plan 1,,Room_Type 1,53,2018,10,14,Offline,0,0,0,53,120.0,0,Not_Canceled,Meal Plan 1
135,INN00462,"2,0",2,2,Meal Plan 1,,Room_Type 4,147,2018,7,1,Online,0,0,0,147,103.7,2,Not_Canceled,Meal Plan 1
136,INN00463,"1,0",0,1,Meal Plan 1,,Room_Type 1,2,2017,8,26,Corporate,0,0,0,2,65.0,0,Not_Canceled,Meal Plan 1
137,INN00466,"2,0",1,2,Meal Plan 2,,Room_Type 1,309,2018,5,13,Online,0,0,0,309,101.0,0,Canceled,Meal Plan 2
138,INN00467,"2,0",1,3,Meal Plan 2,,Room_Type 1,54,2018,7,4,Online,0,0,0,54,161.1,0,Not_Canceled,Meal Plan 2
139,INN00470,"2,0",2,1,Meal Plan 1,,Room_Type 1,0,2017,12,27,Offline,0,0,0,0,58.0,0,Not_Canceled,Meal Plan 1
140,INN00474,"2,0",2,3,Meal Plan 1,,Room_Type 1,268,2018,4,8,Offline,0,0,0,268,78.0,0,Not_Canceled,Meal Plan 1
141,INN00480,"2,0",0,3,Not Selected,,Room_Type 1,179,2018,10,19,Online,0,0,0,179,85.5,2,Not_Canceled,Not Selected
142,INN00482,"3,0",2,2,Meal Plan 1,,Room_Type 4,94,2018,7,8,Online,0,0,0,94,146.7,1,Not_Canceled,Meal Plan 1
143,INN00488,"2,2",0,1,Meal Plan 1,0,Room_Type 2,16,2018,3,8,Online,0,0,0,16,83.03,0,Canceled,Meal Plan 1
144,INN00489,"2,0",1,3,Meal Plan 1,0,Room_Type 1,24,2018,2,11,Online,0,0,0,24,91.0,0,Canceled,Meal Plan 1
145,INN00490,"2,0",2,2,Not Selected,0,Room_Type 1,78,2018,4,10,Online,0,0,0,78,80.75,1,Not_Canceled,Not Selected
146,INN00493,"2,0",2,5,Meal Plan 1,0,Room_Type 1,98,2018,4,30,Online,0,0,0,98,109.81,0,Not_Canceled,Meal Plan 1
147,INN00494,"2,0",1,3,Meal Plan 1,0,Room_Type 4,14,2018,12,5,Online,0,0,0,14,70.88,0,Not_Canceled,Meal Plan 1
148,INN00496,"1,0",2,1,Meal Plan 1,0,Room_Type 1,1,2018,2,28,Online,0,0,0,1,60.0,0,Canceled,Meal Plan 1
149,INN00498,"1,0",1,1,Meal Plan 1,0,Room_Type 1,5,2018,,4,Online,0,0,0,5,95.0,1,Not_Canceled,Meal Plan 1
150,INN00499,"2,0",0,1,Meal Plan2,0,Room_Type 1,55,2018,,6,Offline,0,0,0,55,104.0,0,Not_Canceled,Meal Plan2
151,INN00503,"1,0",1,0,Meal Plan 1,0,Room_Type 1,0,2018,,17,Corporate,0,0,0,0,95.0,0,Not_Canceled,Meal Plan 1
152,INN00505,"2,0",2,4,Meal Plan 1,0,Room_Type 1,152,2018,,18,Offline,0,0,0,152,80.75,0,Not_Canceled,Meal Plan 1
153,INN00512,"2,0",2,1,Not Selected,0,Room_Type 1,67,2017,,5,Online,0,0,0,67,95.4,2,Not_Canceled,Not Selected
154,INN00513,"2,0",0,2,Meal Plan 1,0,Room_Type 1,41,2018,,21,Online,0,0,0,41,160.0,1,Canceled,Meal Plan 1
155,INN00514,"2,0",2,1,Meal Plan 1,0,Room_Type 4,154,2018,,30,Online,0,0,0,154,104.1,2,Canceled,Meal Plan 1
156,INN00517,"2,0",2,4,Meal Plan 1,0,Room_Type 4,99,2018,,10,Online,0,0,0,99,93.78,1,Canceled,Meal Plan 1
157,INN00518,"1,0",0,2,Meal Plan 1,0,Room_Type 1,14,2017,,14,Corporate,0,0,0,14,95.0,0,Not_Canceled,Meal Plan 1
158,INN00519,"1,0",0,1,Not Selected,0,Room_Type 1,0,2018,,15,Online,0,0,0,0,140.0,0,Not_Canceled,Not Selected
159,INN00520,"2,0",1,3,Meal Plan 1,0,Room_Type 1,22,2017,12,24,Online,0,0,0,22,87.0,1,Not_Canceled,Meal Plan 1
160,INN00525,"2,0",2,0,Meal Plan 1,0,Room_Type 1,4,2018,4,3,Online,0,0,0,4,77.77,1,Not_Canceled,Meal Plan 1
161,INN00527,"2,0",0,1,Not Selected,0,Room_Type 1,58,2018,6,10,Online,0,0,0,58,116.1,1,Not_Canceled,Not Selected
162,INN00528,"3,0",0,1,Meal Plan2,0,Room_Type 4,133,2018,7,23,Online,0,0,0,133,189.0,0,Canceled,Meal Plan2
163,INN00529,"2,0",2,1,Meal Plan 1,0,Room_Type 4,27,2018,6,26,Online,0,0,0,27,152.67,0,Canceled,Meal Plan 1
164,INN00530,"2,0",2,3,Meal Plan 1,0,Room_Type 1,27,2018,2,4,Online,0,0,0,27,66.31,1,Not_Canceled,Meal Plan 1
165,INN00532,"2,1",0,3,Meal Plan 1,0,Room_Type 1,86,2018,12,8,Online,0,0,0,86,122.0,0,Canceled,Meal Plan 1
166,INN00535,"2,0",0,2,Meal Plan 1,0,Room_Type 4,5,2018,6,21,Online,0,0,0,5,156.0,1,Not_Canceled,Meal Plan 1
167,INN00536,"2,0",1,3,Meal Plan 1,0,Room_Type 4,82,2018,3,24,Online,0,0,0,82,99.45,0,Not_Canceled,Meal Plan 1
168,INN00537,"2,1",0,2,Meal Plan 1,0,Room_Tipe 6,330,2018,8,31,Online,0,0,0,330,172.8,0,Canceled,Meal Plan 1
169,INN00539,"1,0",0,1,Meal Plan 1,0,Room_Type 1,35,2018,3,10,Online,0,0,0,35,71.1,0,Canceled,Meal Plan 1
170,INN00540,"1,0",6,15,Meal Plan 1,0,Room_Type 4,12,2018,3,30,Online,0,0,0,12,128.06,0,Canceled,Meal Plan 1
171,INN00543,"2,0",0,4,Meal Plan 1,0,Room_Type 4,47,2018,9,27,Online,0,0,0,47,130.61,1,Canceled,Meal Plan 1
172,INN00546,"2,0",0,1,Meal Plan 1,0,Room_Type 1,26,2018,6,8,Offline,0,0,0,26,120.0,0,Not_Canceled,Meal Plan 1
173,INN00548,"2,0",0,2,Meal Plan 2,0,Room_Type 1,256,2018,6,15,Online,0,0,0,256,112.0,1,Canceled,Meal Plan 2
174,INN00555,"1,2",4,9,Meal Plan 1,0,Room_Type 6,30,2018,11,2,Online,0,0,0,30,186.22,0,Canceled,Meal Plan 1
175,INN00562,"2,0",0,1,Meal Plan 1,0,Room_Type 1,33,2018,11,26,Online,0,0,0,33,104.0,1,Canceled,Meal Plan 1
176,INN00563,"3,0",2,5,Meal Plan 1,0,Room_Type 4,184,2018,8,3,Online,0,0,0,184,130.05,3,Not_Canceled,Meal Plan 1
177,INN00564,"2,0",1,3,Meal Plan 1,0,Room_Type 1,232,2018,9,5,Online,0,0,0,232,100.3,0,Canceled,Meal Plan 1
178,INN00567,"2,0",2,2,Meal Plan 1,0,Room_Type 4,45,2018,10,7,Online,0,0,0,45,139.5,1,Canceled,Meal Plan 1
179,INN00568,"1,0",0,1,Meal Plan 1,0,Room_Type 1,1,2018,2,3,Corporate,0,0,0,1,66.0,1,Not_Canceled,Meal Plan 1
180,INN00573,"1,0",2,1,Meal Plan 1,0,Room_Type 1,1,2018,4,9,Online,0,0,0,1,115.0,1,Not_Canceled,Meal Plan 1
181,INN00577,"2,0",0,1,Not Selected,0,Room_Type 1,50,2018,10,19,Online,0,0,0,50,108.0,1,Canceled,Not Selected
182,INN00581,"2,0",1,1,Not Selected,0,Room_Type 1,25,2018,10,3,Online,0,0,0,25,129.0,1,Canceled,Not Selected
183,INN00582,"2,0",2,5,Meal Plan 1,0,Room_Type 1,148,2018,6,25,Online,0,0,0,148,79.53,0,Canceled,Meal Plan 1
