Booking_ID,adults,children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
INN00066,2,0,0,3,Plan 1,0,Type 4,30,2018,10,5,Online,0,0,0,157.5,2,Not_Canceled
INN00068,2,0,0,2,Plan 1,0,Type 4,26,2018,4,15,Online,0,0,0,142,0,Canceled
INN00070,2,0,1,2,Plan 1,0,Type 1,74,2018,4,25,Online,0,0,0,85.5,1,Not_Canceled
INN00076,2,0,1,4,Plan 1,0,Type 4,18,2018,3,9,Online,0,0,0,116.8,1,Not_Canceled
INN00078,2,0,1,2,Plan 1,0,Type 1,64,2018,6,27,Online,0,0,0,111.9,1,Not_Canceled
INN00085,2,0,1,2,Plan 1,1,Type 4,46,2018,3,4,Online,0,0,0,98.3,1,Not_Canceled
INN00088,1,0,0,2,Plan 1,0,Type 1,188,2018,6,15,Online,0,0,0,130,0,Canceled
INN00091,2,0,1,3,Not Selected,0,Type 1,110,2018,5,5,Online,0,0,0,101.58,1,Not_Canceled
INN00093,2,0,2,1,Plan 1,0,Type 4,73,2018,4,9,Online,0,0,0,115.8,1,Not_Canceled
INN00095,2,0,2,5,Plan 1,0,Type 1,171,2018,8,30,Online,0,0,0,111.59,0,Canceled
INN00101,2,0,1,0,Not Selected,0,Type 1,189,2018,10,23,Online,0,0,0,85.5,2,Not_Canceled
INN00102,3,0,1,2,Plan 1,0,Type 4,55,2018,5,13,Online,0,0,0,159.3,2,Not_Canceled
INN00111,2,0,0,2,Plan 1,0,Type 1,182,2018,9,30,Online,0,0,0,117.9,2,Canceled
INN00114,2,0,2,3,Plan 1,0,Type 1,40,2018,6,30,Online,0,0,0,117.9,1,Not_Canceled
INN00116,3,0,2,2,Plan 1,1,Type 4,123,2018,8,13,Online,0,0,0,155.7,1,Not_Canceled
INN00118,2,1,2,5,Plan 1,0,Type 1,105,2018,11,12,Online,0,0,0,102.83,3,Not_Canceled
INN00121,2,0,0,3,Plan 1,0,Type 1,317,2018,9,1,Online,0,0,0,106.2,1,Canceled
INN00123,2,0,1,3,Plan 1,0,Type 1,68,2018,3,10,Online,0,0,0,73.95,0,Canceled
INN00124,2,0,0,3,Plan 1,0,Type 1,148,2018,5,5,Online,0,0,0,105.3,0,Not_Canceled
INN00125,3,0,2,0,Plan 1,0,Type 4,68,2018,4,24,Online,0,0,0,133.2,2,Not_Canceled
INN00134,2,0,1,4,Plan 1,0,Type 4,28,2017,10,19,Offline,0,0,0,75,0,Not_Canceled
INN00136,2,0,0,1,Plan 1,0,Type 4,11,2017,10,9,Online,0,0,0,155,2,Not_Canceled
INN00138,2,0,2,5,Plan 1,0,Type 1,155,2018,6,28,Online,0,0,0,90.95,2,Not_Canceled
INN00140,3,0,2,4,Plan 1,0,Type 4,27,2018,4,15,Online,0,0,0,142.72,0,Canceled
INN00143,2,0,0,2,Plan 1,0,Type 1,11,2018,11,18,Online,0,0,0,111,1,Canceled
INN00144,2,0,2,2,Plan 1,0,Type 1,266,2018,10,30,Online,0,0,0,86.7,2,Not_Canceled
INN00146,1,0,0,2,Plan 1,0,Type 1,13,2018,6,1,Complementary,1,3,5,0,1,Not_Canceled
INN00149,2,0,0,1,Plan 1,0,Type 1,56,2018,6,8,Offline,0,0,0,120,0,Not_Canceled
INN00157,2,0,0,3,Plan 1,0,Type 4,97,2018,5,24,Online,0,0,0,140.4,0,Not_Canceled
INN00172,2,0,1,2,Not Selected,0,Type 1,185,2018,12,16,Online,0,0,0,79.2,0,Canceled
INN00175,2,1,0,1,Plan 1,0,Type 1,11,2018,11,5,Online,0,0,0,150,1,Canceled
INN00181,2,0,0,3,Plan 1,0,Type 1,11,2017,9,9,Online,0,0,0,80.85,1,Not_Canceled
INN00183,2,0,0,1,Not Selected,0,Type 1,109,2018,10,11,Online,0,0,0,108,0,Canceled
INN00195,2,0,4,10,Plan 1,0,Type 4,147,2018,8,3,Online,0,0,0,118.88,1,Canceled
INN00198,2,0,2,1,Plan 1,0,Type 1,109,2018,3,20,,0,0,0,58,0,Not_Canceled
INN00199,2,0,0,4,Plan 1,0,Type 1,127,2018,3,23,,0,0,0,61.5,2,Not_Canceled
INN00205,2,0,2,1,,0,Type 1,58,2018,11,19,,0,0,0,75,1,Not_Canceled
INN00206,2,0,0,3,,0,Type 1,433,2018,9,8,,0,0,0,70,0,Canceled
INN00207,2,0,1,3,,0,Type 1,111,2018,5,2,,0,0,0,101.58,1,Not_Canceled
INN00208,2,0,2,3,,0,Type 1,34,2018,8,21,,0,0,0,85,0,Not_Canceled
INN00210,1,0,0,0,,0,Type 1,4,2018,2,27,,0,0,0,0,1,Not_Canceled
INN00217,2,0,0,2,Plan 1,0,Type 1,59,2017,10,15,,0,0,0,89.25,2,Not_Canceled
INN00222,2,0,0,1,Plan 1,0,Type 1,118,2018,3,1,,0,0,0,86,0,Not_Canceled
INN00223,2,0,1,5,Plan 1,0,Type 1,56,2018,9,5,,0,0,0,118.95,0,Not_Canceled
INN00226,2,0,0,2,Plan 1,0,Type 1,76,2018,4,1,,0,0,0,87.3,1,Not_Canceled
INN00228,1,2,2,2,Plan 1,0,Type 6,4,2017,9,19,,0,0,0,200.75,2,Not_Canceled
INN00230,1,0,1,2,Plan 1,0,Type 1,32,2018,2,5,,0,0,0,72.9,0,Canceled
INN00232,2,1,1,3,Plan 1,0,Type 1,77,2018,5,12,,0,0,0,135.15,1,Not_Canceled
INN00236,2,0,2,6,Not Selected,0,,4,2017,8,14,,0,0,0,95.13,1,Not_Canceled
INN00239,2,0,2,2,Not Selected,0,,35,2018,12,2,,0,0,0,74.8,2,Not_Canceled
INN00240,,,1,0,Not Selected,0,,31,2018,4,24,,0,0,0,94.5,0,Canceled
INN00246,,,0,2,Plan 1,0,,164,2017,10,2,,0,0,0,100,0,Not_Canceled
INN00248,,,0,4,Plan 1,0,,18,2018,5,31,,0,0,0,112.8,0,Canceled
INN00254,,,1,1,Not Selected,0,,47,2018,5,21,,0,0,0,76.5,0,Not_Canceled
INN00255,,,0,3,Plan 1,0,,57,2018,9,7,,0,0,0,140.13,0,Not_Canceled
INN00257,,,0,1,Plan 1,0,Type 1,0,2017,9,16,,0,0,0,200,0,Not_Canceled
INN00258,,,0,2,Plan 2,0,Type 1,102,2017,10,16,,0,0,0,101.5,0,Canceled
INN00262,,,1,1,Not Selected,0,Type 1,4,2018,1,16,,0,0,0,67.5,0,Not_Canceled
INN00269,,,0,3,Plan 1,0,Type 1,302,2018,12,29,,0,0,0,90.3,2,Canceled
INN00270,,,0,2,Plan 1,0,Type 1,122,2018,4,15,,0,0,0,85,0,Not_Canceled
INN00271,,,0,1,Plan 1,0,Type 1,16,2018,3,11,,0,0,0,75,0,Not_Canceled
INN00276,,,2,4,Plan 1,0,Type 4,109,2018,7,6,,0,0,0,118.46,4,Not_Canceled
INN00280,,,2,5,Plan 1,0,Type 4,40,2018,4,21,,0,0,0,135.64,1,Not_Canceled
INN00281,,,1,1,Plan 1,0,Type 4,45,2018,6,18,,0,0,0,122.4,0,Not_Canceled
INN00283,,,0,4,Not Selected,0,Type 1,167,2018,6,28,,0,0,0,62.18,0,Canceled
INN00286,,,0,2,Not Selected,1,Type 1,1,2018,8,10,,0,0,0,167,0,Not_Canceled
INN00291,,,1,3,Plan 1,0,Type 1,80,2018,3,17,,0,0,0,80.33,1,Not_Canceled
INN00295,,,2,1,Plan 1,0,Type 1,118,2018,4,3,,0,0,0,87.3,1,Canceled
INN00297,,,0,1,Plan 2,0,Type 1,41,2017,9,4,,0,0,0,83,0,
INN00298,,,2,2,Plan 1,0,Type 1,174,2018,8,13,,0,0,0,99.45,1,
INN00300,,,2,6,Plan 1,0,Type 1,2,2018,11,16,,0,0,0,92.54,2,
INN00307,,,0,2,Plan 1,0,Type 1,61,2018,3,23,,0,0,0,117,0,Canceled
INN00308,2,0,0,4,Plan 1,0,Type 4,95,2017,12,29,,0,0,0,60.5,0,Not_Canceled
INN00309,2,0,0,1,Plan 2,0,Type 1,83,2017,9,30,,0,0,0,112.2,0,Not_Canceled
INN00311,2,0,1,0,Plan 1,0,Type 1,19,2018,7,25,,0,0,0,151,1,Canceled
INN00315,2,0,2,1,Plan 1,0,Type 1,26,2018,2,28,,0,0,0,87,0,Not_Canceled
INN00318,2,0,1,1,Plan 2,0,Type 1,247,2018,6,6,,0,0,0,115,1,Canceled
INN00321,3,0,1,2,Plan 1,0,Type 4,27,2018,2,22,,0,0,0,130,2,Not_Canceled
INN00330,2,0,0,2,Plan 1,0,Type 4,67,2018,5,27,,0,0,0,140.4,1,Not_Canceled
INN00331,2,0,0,1,Plan 1,0,Type 1,0,2017,8,11,,0,0,0,75,0,Not_Canceled
INN00333,2,0,2,1,Plan 2,,Type 1,110,2017,7,25,,0,0,0,94.5,0,Canceled
INN00334,1,0,0,1,Plan 1,,Type 1,0,2017,12,15,,1,0,1,75,0,Not_Canceled
INN00335,2,0,1,2,Plan 1,,Type 4,32,2017,10,23,,0,0,0,75,1,Not_Canceled
INN00337,2,0,2,2,Plan 1,,Type 1,38,2018,10,2,,0,0,0,126,0,Not_Canceled
INN00340,2,0,2,2,Plan 1,,Type 4,127,2018,6,26,,0,0,0,103.7,1,Not_Canceled
INN00345,3,0,1,1,Plan 1,,Type 4,69,2018,7,25,,0,0,0,137.7,0,Not_Canceled
INN00353,1,0,2,6,Plan 1,,Type 1,11,2018,7,5,,0,0,0,145,0,Canceled
INN00356,2,1,1,1,Plan 1,,Type 6,14,2018,10,22,,0,0,0,168.25,1,Not_Canceled
INN00358,2,0,1,3,Plan 1,,Type 1,133,2018,6,13,,0,0,0,76,0,Not_Canceled
INN00364,2,0,0,2,Plan 1,,Type 4,1,2018,11,16,,0,0,0,130,1,Not_Canceled
INN00366,3,0,1,4,Plan 1,,Type 1,50,2018,2,22,Online,0,0,0,78.85,1,Not_Canceled
INN00371,2,2,0,5,Plan 1,,Type 6,22,2017,12,29,Online,0,0,0,199,0,Not_Canceled
INN00375,2,0,2,6,Plan 1,,Type 1,36,2018,12,10,Online,0,0,0,68.07,1,Not_Canceled
INN00380,2,0,2,1,Plan 1,,Type 1,17,2018,5,21,Offline,0,0,0,95,0,Not_Canceled
INN00381,2,0,4,11,Plan 1,,Type 4,237,2018,9,13,Online,0,0,0,116.62,1,Canceled
INN00385,2,0,2,1,Plan 1,,Type 1,91,2018,6,19,Online,0,0,0,135.9,0,Canceled
INN00386,2,0,0,2,Plan 2,,Type 1,102,2017,10,16,Offline,0,0,0,109,0,Not_Canceled
INN00387,3,0,2,1,Plan 1,,Type 4,9,2018,3,20,Online,0,0,0,186,1,Not_Canceled
INN00389,2,2,0,1,Plan 1,,Type 6,0,2018,5,14,Online,0,0,0,221,0,Canceled
INN00392,2,1,1,4,Plan 1,,Type 1,86,2018,3,23,Offline,0,0,0,73.83,0,Not_Canceled
INN00403,2,0,1,2,Plan 1,,Type 1,198,2018,9,9,Online,0,0,0,90,0,Canceled
INN00406,2,0,0,3,Plan 1,,Type 1,26,2017,9,17,Online,0,0,0,117.67,1,Canceled
INN00407,2,0,2,1,Plan 1,,Type 1,20,2018,6,18,Online,0,0,0,141,1,Not_Canceled
INN00409,3,0,0,3,Plan 1,,Type 4,85,2018,8,3,Online,0,0,0,152.1,0,Canceled
INN00412,2,0,0,2,Plan 1,,Type 1,48,2018,11,4,Online,0,0,0,97.2,2,Not_Canceled
INN00415,1,0,0,1,Plan 1,,Type 1,13,2018,1,20,Offline,0,0,0,71,0,Not_Canceled
INN00417,2,0,1,2,Plan 1,,Type 4,75,2017,12,7,Offline,0,0,0,60,0,Not_Canceled
INN00422,2,0,1,2,Plan 1,,Type 1,224,2017,10,2,Offline,0,0,0,65,0,Not_Canceled
INN00423,2,0,2,2,Plan 1,,Type 1,24,2018,5,29,Online,0,0,0,104.55,2,Not_Canceled
INN00430,2,0,2,4,Plan 1,,Type 1,224,2018,9,3,Online,0,0,0,97.18,1,Canceled
INN00435,2,0,0,2,Plan 1,,Type 1,15,2018,2,16,Online,0,0,0,91,1,Canceled
INN00437,2,0,0,4,Plan 1,,Type 1,54,2018,3,16,Offline,0,0,0,67.32,0,Not_Canceled
INN00442,2,0,2,1,Plan 1,,Type 1,136,2018,8,13,Online,0,0,0,88.01,1,Not_Canceled
INN00444,2,0,0,4,Plan 1,,Type 1,66,2018,5,11,Online,0,0,0,119.85,1,Not_Canceled
INN00448,2,0,0,1,Plan 1,,Type 1,43,2017,10,13,Offline,0,0,0,85,0,Not_Canceled
INN00449,2,0,3,5,Plan 1,,Type 4,5,2018,4,4,Online,0,0,0,126.75,0,Canceled
INN00450,2,0,1,1,Plan 2,,Type 1,247,2018,6,6,Online,0,0,0,115,1,Canceled
INN00452,1,0,0,1,Plan 1,,Type 1,53,2018,10,14,Offline,0,0,0,120,0,Not_Canceled
INN00462,2,0,2,2,Plan 1,,Type 4,147,2018,7,1,Online,0,0,0,103.7,2,Not_Canceled
INN00463,1,0,0,1,Plan 1,,Type 1,2,2017,8,26,Corporate,0,0,0,65,0,Not_Canceled
INN00466,2,0,1,2,Plan 2,,Type 1,309,2018,5,13,Online,0,0,0,101,0,Canceled
INN00467,2,0,1,3,Plan 2,,Type 1,54,2018,7,4,Online,0,0,0,161.1,0,Not_Canceled
INN00470,2,0,2,1,Plan 1,,Type 1,0,2017,12,27,Offline,0,0,0,58,0,Not_Canceled
INN00474,2,0,2,3,Plan 1,,Type 1,268,2018,4,8,Offline,0,0,0,78,0,Not_Canceled
INN00480,2,0,0,3,Not Selected,,Type 1,179,2018,10,19,Online,0,0,0,85.5,2,Not_Canceled
INN00482,3,0,2,2,Plan 1,,Type 4,94,2018,7,8,Online,0,0,0,146.7,1,Not_Canceled
INN00488,2,2,0,1,Plan 1,0,Type 2,16,2018,3,8,Online,0,0,0,83.03,0,Canceled
INN00489,2,0,1,3,Plan 1,0,Type 1,24,2018,2,11,Online,0,0,0,91,0,Canceled
INN00490,2,0,2,2,Not Selected,0,Type 1,78,2018,4,10,Online,0,0,0,80.75,1,Not_Canceled
INN00493,2,0,2,5,Plan 1,0,Type 1,98,2018,4,30,Online,0,0,0,109.81,0,Not_Canceled
INN00494,2,0,1,3,Plan 1,0,Type 4,14,2018,12,5,Online,0,0,0,70.88,0,Not_Canceled
INN00496,1,0,2,1,Plan 1,0,Type 1,1,2018,2,28,Online,0,0,0,60,0,Canceled
INN00498,1,0,1,1,Plan 1,0,Type 1,5,2018,,4,Online,0,0,0,95,1,Not_Canceled
INN00499,2,0,0,1,Plan 2,0,Type 1,55,2018,,6,Offline,0,0,0,104,0,Not_Canceled
INN00503,1,0,1,0,Plan 1,0,Type 1,0,2018,,17,Corporate,0,0,0,95,0,Not_Canceled
INN00505,2,0,2,4,Plan 1,0,Type 1,152,2018,,18,Offline,0,0,0,80.75,0,Not_Canceled
INN00512,2,0,2,1,Not Selected,0,Type 1,67,2017,,5,Online,0,0,0,95.4,2,Not_Canceled
INN00513,2,0,0,2,Plan 1,0,Type 1,41,2018,,21,Online,0,0,0,160,1,Canceled
INN00514,2,0,2,1,Plan 1,0,Type 4,154,2018,,30,Online,0,0,0,104.1,2,Canceled
INN00517,2,0,2,4,Plan 1,0,Type 4,99,2018,,10,Online,0,0,0,93.78,1,Canceled
INN00518,1,0,0,2,Plan 1,0,Type 1,14,2017,,14,Corporate,0,0,0,95,0,Not_Canceled
INN00519,1,0,0,1,Not Selected,0,Type 1,0,2018,,15,Online,0,0,0,140,0,Not_Canceled
INN00520,2,0,1,3,Plan 1,0,Type 1,22,2017,12,24,Online,0,0,0,87,1,Not_Canceled
INN00525,2,0,2,0,Plan 1,0,Type 1,4,2018,4,3,Online,0,0,0,77.77,1,Not_Canceled
INN00527,2,0,0,1,Not Selected,0,Type 1,58,2018,6,10,Online,0,0,0,116.1,1,Not_Canceled
INN00528,3,0,0,1,Plan 2,0,Type 4,133,2018,7,23,Online,0,0,0,189,0,Canceled
INN00529,2,0,2,1,Plan 1,0,Type 4,27,2018,6,26,Online,0,0,0,152.67,0,Canceled
INN00530,2,0,2,3,Plan 1,0,Type 1,27,2018,2,4,Online,0,0,0,66.31,1,Not_Canceled
INN00532,2,1,0,3,Plan 1,0,Type 1,86,2018,12,8,Online,0,0,0,122,0,Canceled
INN00535,2,0,0,2,Plan 1,0,Type 4,5,2018,6,21,Online,0,0,0,156,1,Not_Canceled
INN00536,2,0,1,3,Plan 1,0,Type 4,82,2018,3,24,Online,0,0,0,99.45,0,Not_Canceled
INN00537,2,1,0,2,Plan 1,0,Type 6,330,2018,8,31,Online,0,0,0,172.8,0,Canceled
INN00539,1,0,0,1,Plan 1,0,Type 1,35,2018,3,10,Online,0,0,0,71.1,0,Canceled
INN00540,1,0,6,15,Plan 1,0,Type 4,12,2018,3,30,Online,0,0,0,128.06,0,Canceled
INN00543,2,0,0,4,Plan 1,0,Type 4,47,2018,9,27,Online,0,0,0,130.61,1,Canceled
INN00546,2,0,0,1,Plan 1,0,Type 1,26,2018,6,8,Offline,0,0,0,120,0,Not_Canceled
INN00548,2,0,0,2,Plan 2,0,Type 1,256,2018,6,15,Online,0,0,0,112,1,Canceled
INN00555,1,2,4,9,Plan 1,0,Type 6,30,2018,11,2,Online,0,0,0,186.22,0,Canceled
INN00562,2,0,0,1,Plan 1,0,Type 1,33,2018,11,26,Online,0,0,0,104,1,Canceled
INN00563,3,0,2,5,Plan 1,0,Type 4,184,2018,8,3,Online,0,0,0,130.05,3,Not_Canceled
INN00564,2,0,1,3,Plan 1,0,Type 1,232,2018,9,5,Online,0,0,0,100.3,0,Canceled
INN00567,2,0,2,2,Plan 1,0,Type 4,45,2018,10,7,Online,0,0,0,139.5,1,Canceled
INN00568,1,0,0,1,Plan 1,0,Type 1,1,2018,2,3,Corporate,0,0,0,66,1,Not_Canceled
INN00573,1,0,2,1,Plan 1,0,Type 1,1,2018,4,9,Online,0,0,0,115,1,Not_Canceled
INN00577,2,0,0,1,Not Selected,0,Type 1,50,2018,10,19,Online,0,0,0,108,1,Canceled
INN00581,2,0,1,1,Not Selected,0,Type 1,25,2018,10,3,Online,0,0,0,129,1,Canceled
INN00582,2,0,2,5,Plan 1,0,Type 1,148,2018,6,25,Online,0,0,0,79.53,0,Canceled
INN00587,2,0,2,2,Plan 2,0,Type 4,67,2017,9,6,Complementary,0,0,0,29,1,Not_Canceled
INN00588,2,0,2,2,Plan 1,1,Type 1,61,2018,9,2,Online,0,0,0,118.8,1,Not_Canceled
INN00589,2,0,0,2,Plan 1,0,Type 1,79,2018,12,30,Offline,0,0,0,192.03,1,Not_Canceled
INN00593,2,0,0,4,Plan 1,0,Type 1,4,2018,1,6,Online,0,0,0,89,0,Not_Canceled
INN00596,3,0,1,4,Plan 1,0,Type 4,84,2018,6,15,Online,0,0,0,170.1,2,Not_Canceled
INN00597,2,0,0,2,Plan 1,0,Type 1,245,2018,6,17,Online,0,0,0,75,0,Canceled
INN00598,2,0,0,3,Plan 1,0,Type 4,27,2018,6,29,Online,0,0,0,125.25,1,Not_Canceled
INN00603,2,0,0,2,Plan 2,0,Type 1,265,2018,6,24,Online,0,0,0,109,0,Canceled
INN00604,2,0,2,3,Plan 1,0,Type 4,64,2018,4,15,Online,0,0,0,112.2,0,Not_Canceled
INN00609,2,0,0,4,Plan 1,0,Type 1,36,2018,12,28,Online,0,0,0,168.73,0,Not_Canceled
INN00613,2,0,2,1,Plan 1,0,Type 1,37,2018,10,2,Online,0,0,0,126,1,Not_Canceled
INN00621,2,0,0,1,Plan 2,0,Type 1,55,2018,4,6,Offline,0,0,0,104,0,Not_Canceled
INN00622,2,0,1,2,Plan 1,0,Type 1,84,2018,4,29,Offline,0,0,0,89.75,0,Not_Canceled
INN00623,2,2,0,2,Plan 1,0,Type 6,0,2017,8,25,Online,0,0,0,156,1,Not_Canceled
INN00630,2,0,1,2,Plan 1,0,Type 1,101,2018,4,4,Online,0,0,0,80,0,Canceled
INN00632,2,0,0,2,Plan 1,0,Type 1,122,2018,5,12,Online,0,0,0,105.3,1,Not_Canceled
INN00636,1,0,0,2,Plan 1,0,Type 1,192,2018,6,24,Offline,0,0,0,95,0,Not_Canceled
INN00639,3,0,0,4,Plan 1,0,Type 4,137,2018,8,24,Online,0,0,0,130.95,0,Canceled
INN00645,2,0,2,2,Not Selected,0,Type 1,12,2018,2,6,Online,0,0,0,55.72,0,Not_Canceled
INN00646,3,0,1,1,Plan 1,0,Type 4,52,2018,10,17,Online,0,0,0,158.4,1,Canceled
INN00647,2,0,1,4,Plan 1,0,Type 4,191,2018,3,30,Offline,0,0,0,69,0,Not_Canceled
INN00658,4,0,0,2,Plan 1,0,Type 7,32,2018,8,17,Online,0,0,0,214.75,1,Not_Canceled
INN00663,1,0,0,1,Plan 1,0,Type 1,10,2018,1,28,Corporate,0,0,0,66,0,Not_Canceled
INN00670,2,0,2,3,Plan 1,0,Type 1,170,2018,4,8,Offline,0,0,0,78,0,Not_Canceled
INN00671,1,0,0,2,Plan 2,0,Type 1,265,2018,6,24,Offline,0,0,0,90,0,Not_Canceled
INN00673,2,0,0,3,Plan 1,0,Type 1,51,2018,2,25,Online,0,0,0,80.3,1,Not_Canceled
INN00683,1,0,0,3,Plan 1,1,Type 1,4,2018,1,28,Online,0,0,0,95,1,Not_Canceled
INN00691,2,0,0,2,Plan 1,0,Type 1,177,2018,6,3,Online,0,0,0,100,0,Canceled
INN00695,2,0,2,1,Plan 1,0,Type 1,271,2018,12,3,Offline,0,0,0,78.3,0,Not_Canceled
INN00696,2,0,0,2,Plan 2,0,Type 1,257,2017,7,1,Online,0,0,0,101.5,0,Canceled
INN00706,2,0,2,0,Not Selected,0,Type 1,24,2018,9,11,Online,0,0,0,71.69,1,Not_Canceled
INN00707,1,1,2,3,Plan 2,0,Type 1,76,2018,4,24,Offline,0,0,0,98.5,1,Not_Canceled
INN00708,2,0,0,3,Not Selected,0,Type 1,146,2018,7,13,Online,0,0,0,94.5,1,Not_Canceled
INN00713,2,0,0,1,Plan 1,0,Type 1,16,2018,11,16,Online,0,0,0,93,0,Not_Canceled
INN00718,2,0,2,5,Plan 1,0,Type 1,54,2018,7,2,Online,0,0,0,119.7,0,Canceled
INN00719,3,0,0,3,Plan 1,0,Type 4,81,2018,9,7,Online,0,0,0,168.3,0,Canceled
INN00723,2,0,2,2,Not Selected,0,Type 1,4,2018,2,5,Online,0,0,0,81,0,Canceled
INN00727,2,0,2,1,Plan 1,0,Type 4,62,2018,4,16,Online,0,0,0,118.8,0,Canceled
INN00735,2,0,0,3,Plan 2,0,Type 1,88,2018,5,3,Offline,0,0,0,117,1,Not_Canceled
INN00738,2,0,2,5,Not Selected,0,Type 1,104,2018,5,11,Online,0,0,0,109.65,0,Canceled
INN00742,2,0,0,1,Not Selected,0,Type 1,6,2018,3,4,Online,0,0,0,91,0,Not_Canceled
INN00743,2,0,2,4,Plan 1,0,Type 1,23,2018,3,17,Offline,0,0,0,68,0,Not_Canceled
INN00745,2,0,2,1,Plan 2,0,Type 1,4,2017,8,8,Offline,0,0,0,94.5,0,Not_Canceled
INN00748,1,0,0,1,Plan 1,0,Type 1,21,2018,2,25,Corporate,0,0,0,68,1,Not_Canceled
INN00752,2,0,1,1,Plan 2,0,Type 1,247,2018,6,6,Online,0,0,0,115,1,Canceled
INN00765,2,0,0,2,Plan 2,0,Type 1,292,2018,7,21,Online,0,0,0,115,0,Canceled
INN00769,2,0,2,2,Plan 1,0,Type 4,44,2018,12,3,Offline,0,0,0,87.2,0,Not_Canceled
INN00770,2,0,0,2,Plan 2,0,Type 1,257,2017,7,1,Online,0,0,0,101.5,0,Canceled
INN00777,1,0,0,3,Plan 1,0,Type 1,91,2018,9,14,Corporate,1,3,15,65,0,Not_Canceled
INN00778,2,0,0,1,Plan 1,0,Type 4,76,2018,7,2,Online,0,0,0,131.4,0,Canceled
INN00786,1,0,0,2,Plan 2,0,Type 1,265,2018,6,24,Offline,0,0,0,90,0,Not_Canceled
INN00787,2,0,3,5,Plan 1,1,Type 1,122,2018,8,21,Offline,0,0,0,81.26,2,Not_Canceled
INN00791,2,0,0,2,Plan 1,0,Type 1,122,2018,4,15,Online,0,0,0,85,0,Canceled
INN00793,2,0,0,2,Plan 1,0,Type 1,1,2017,9,30,Offline,1,1,0,102.6,0,Not_Canceled
INN00795,2,0,1,1,Plan 2,0,Type 1,301,2018,7,30,Online,0,0,0,115,1,Canceled
INN00799,2,0,0,4,Plan 1,0,Type 1,200,2018,8,31,Online,0,0,0,105.4,1,Canceled
INN00800,2,0,1,2,Plan 1,0,Type 4,71,2018,10,21,Online,0,0,0,101.87,1,Not_Canceled
INN00802,2,0,0,2,Plan 1,1,Type 1,6,2017,11,6,Online,0,0,0,116,0,Not_Canceled
INN00810,1,0,1,1,Plan 1,0,Type 1,0,2018,1,2,Online,0,0,0,86,0,Not_Canceled
INN00829,2,0,2,1,Plan 2,0,Type 1,96,2017,7,11,Offline,0,0,0,94.5,0,Not_Canceled
INN00832,2,0,2,3,Plan 1,0,Type 1,268,2018,4,8,Online,0,0,0,78,0,Canceled
INN00833,2,0,2,3,Plan 1,0,Type 1,32,2018,3,11,Offline,0,0,0,85,0,Not_Canceled
INN00838,2,0,0,4,Not Selected,0,Type 1,17,2018,11,16,Online,0,0,0,74.8,2,Not_Canceled
INN00839,2,0,2,3,Plan 1,0,Type 4,57,2018,4,21,Online,0,0,0,112.2,0,Canceled
INN00846,2,0,0,2,Plan 2,0,Type 1,74,2017,9,18,Offline,0,0,0,101.5,0,Not_Canceled
